Date	Algae	Treatment	n	mean.alpha.REG2	sd.alpha.REG2	se.alpha.REG2	mean.ETRm.REG2	sd.ETRm.REG2	se.ETRm.REG2	mean.Fv.Fm	sd.Fv.Fm	se.Fv.Fm	ID
2015-06-09	Clad	Marg	4	0.12885213093946893	0.010102638554899828	0.005051319277449914	99.81311165974994	12.990639976932755	6.4953199884663775	0.5625833333333333	0.04654776519280431	0.023273882596402156	Clad.Marg
2015-06-09	Clad	Thal	4	0.14451013309254923	0.01246417282603284	0.00623208641301642	118.28677862087461	16.85344526917971	8.426722634589854	0.5645833333333333	0.01890203790698338	0.00945101895349169	Clad.Thal
2015-06-09	Oed	Marg	4	0.20873966188041854	0.03787677966375647	0.018938389831878236	88.76390582755934	6.7530811053722335	3.3765405526861167	0.5621666666666667	0.10688363350443841	0.05344181675221921	Oed.Marg
2015-06-09	Oed	Thal	4	0.19475782538870304	0.003526551308175249	0.0017632756540876245	101.49641249833614	18.237561695697373	9.118780847848686	0.5024166666666667	0.03690365333716474	0.01845182666858237	Oed.Thal
2015-06-09	Peri	Marg	4	0.07229486084861352	0.01175088882290853	0.005875444411454265	34.98025872573902	3.2441678497003332	1.6220839248501666	0.39258333333333334	0.040274405989136286	0.020137202994568143	Peri.Marg
2015-06-09	Peri	Thal	4	0.07257889894074393	0.010459902722882755	0.005229951361441378	41.216879116345886	5.728932859879857	2.8644664299399283	0.4365833333333333	0.024548327241797365	0.012274163620898683	Peri.Thal
2015-06-10	Clad	Marg	4	0.11201314987938496	0.01268275587157672	0.00634137793578836	102.09018303904348	14.872568657182796	7.436284328591398	0.5189166666666667	0.03874644547615999	0.019373222738079995	Clad.Marg
2015-06-10	Clad	Thal	4	0.14652733759470804	0.020802775726472655	0.010401387863236328	136.06798781208877	12.71091836768336	6.35545918384168	0.5786250000000001	0.04969096627788226	0.02484548313894113	Clad.Thal
2015-06-10	Oed	Marg	4	0.14782484578532615	0.015829838103056854	0.007914919051528427	76.30200425511819	11.514982637208371	5.757491318604186	0.43566666666666665	0.05167060916857719	0.025835304584288597	Oed.Marg
2015-06-10	Oed	Thal	4	0.17588747524738055	0.024373090031316377	0.012186545015658188	109.22959370185526	25.319470227350646	12.659735113675323	0.5190833333333333	0.0866676816179886	0.0433338408089943	Oed.Thal
2015-06-10	Peri	Marg	4	0.060160997131236585	0.0054176982157231575	0.0027088491078615788	42.451683580099115	8.413783971119765	4.206891985559882	0.33491666666666664	0.015466511014542453	0.007733255507271226	Peri.Marg
2015-06-10	Peri	Thal	4	0.08388771648949823	0.015526678698629979	0.0077633393493149894	47.86441375658133	6.352037043836731	3.1760185219183654	0.4345	0.06568020165079347	0.032840100825396734	Peri.Thal
2015-06-11	Clad	Marg	4	0.10896032577166082	0.015229395329798313	0.007614697664899157	112.96292253947428	11.140042961343719	5.570021480671859	0.4906666666666667	0.028025121006115334	0.014012560503057667	Clad.Marg
2015-06-11	Clad	Thal	4	0.15510900982376458	0.009707970807208255	0.0048539854036041274	160.96871535652548	14.120841312369102	7.060420656184551	0.6	0.013875104270545804	0.006937552135272902	Clad.Thal
2015-06-11	Oed	Marg	4	0.14926850696167965	0.012581233509323952	0.006290616754661976	75.53778715050322	14.814563514270386	7.407281757135193	0.44975	0.017077980191094248	0.008538990095547124	Oed.Marg
2015-06-11	Oed	Thal	4	0.1865449874137584	0.010552949850548386	0.005276474925274193	124.53294434252857	11.302346508237868	5.651173254118934	0.49062500000000003	0.03366346932012013	0.016831734660060067	Oed.Thal
2015-06-11	Peri	Marg	4	0.0614866090156678	0.005031761653230683	0.0025158808266153416	47.259447179687776	3.4566642959223106	1.7283321479611553	0.2995	0.024995555160423594	0.012497777580211797	Peri.Marg
2015-06-11	Peri	Thal	4	0.07633117872128235	0.00958023671731443	0.004790118358657215	44.6283296312935	14.103548013696857	7.0517740068484285	0.3624583333333333	0.028499309608272055	0.014249654804136027	Peri.Thal
2015-06-15	Clad	Marg	4	0.09271015967321886	0.0016429734815933386	8.214867407966693e-4	100.01632714696692	0.8764095709395019	0.43820478546975095	0.5114166666666666	0.02751346471712971	0.013756732358564856	Clad.Marg
2015-06-15	Clad	Thal	4	0.12992134352487955	0.015620966649193888	0.007810483324596944	146.27885196791158	16.677084808247912	8.338542404123956	0.5437500000000001	0.03316778334245221	0.016583891671226106	Clad.Thal
2015-06-15	Oed	Marg	4	0.126589075364858	0.013341088401299524	0.006670544200649762	65.45411912218147	8.026142132172811	4.013071066086406	0.46908333333333335	0.05084280421791013	0.025421402108955066	Oed.Marg
2015-06-15	Oed	Thal	4	0.1472125083536916	0.01691046018273643	0.008455230091368214	102.92925235593643	15.200032690728733	7.6000163453643665	0.48391666666666666	0.020756748121817947	0.010378374060908973	Oed.Thal
2015-06-15	Peri	Marg	4	0.07326185218383212	0.017637559896747555	0.008818779948373778	50.762868220907315	5.764639471532105	2.8823197357660524	0.3228333333333333	0.06354846502794073	0.031774232513970366	Peri.Marg
2015-06-15	Peri	Thal	4	0.09388107727177322	0.012146757439642093	0.0060733787198210465	50.343727966208505	11.167086542890026	5.583543271445013	0.45491666666666664	0.04805118798392674	0.02402559399196337	Peri.Thal
