Date	Site	Algae	Treatment	n	pseu.alpha.REG2	pseu.sd.alpha.REG2	pseu.ETRm.REG2	pseu.sd.ETRm.REG2	pseu.Ek.REG2	pseu.sd.Ek.REG2	pseu.Fv.Fm	pseu.sd.Fv.Fm	Day	ID
2015-06-10	3	Oed	Marg	3	-0.37422971208041744	0.13925734149248378	-0.1182028420305666	0.3675700693159976	0.2560268700498508	0.320921938034039	-0.2671958592014203	0.26995317257274154	1	3.Oed.Marg
2015-06-10	3	Oed	Thal	3	-0.3145841889913764	0.372544987877846	-0.010311587359344185	0.2627657155600805	0.3042726016320323	0.1347875211289688	-0.19817713768066164	0.2560640644128253	1	3.Oed.Thal
2015-06-10	3	Peri	Marg	3	-0.2286416821252286	0.15279751319450946	0.4040346537024426	0.20199153023598607	0.6326763358276712	0.219569057320083	-0.2827752569526213	0.24825380165220548	1	3.Peri.Marg
2015-06-10	3	Peri	Thal	3	-0.15369662257331915	0.05062631861144157	0.08639926908196754	0.222014301988726	0.24009589165528666	0.18612282920336448	-0.1701209585528401	0.05425972503846933	1	3.Peri.Thal
2015-06-10	4	Clad	Marg	3	-0.032091792738318754	0.29516861158556074	0.4777562982821881	0.6181821378040532	0.5098480910205068	0.3400034878838132	0.08236354758511183	0.085746425157193	1	4.Clad.Marg
2015-06-10	4	Clad	Thal	3	-0.22949131058734953	0.1706221397794475	-0.050763087356136084	0.34750127426155925	0.17872822323121348	0.2844034396021803	-0.07047734421431368	0.12930660965015722	1	4.Clad.Thal
2015-06-10	4	Oed	Marg	3	-0.0229357576788994	0.44610590426179675	-0.2623195420861966	0.11041439622834606	-0.23938378440729724	0.5561169352663724	-0.21868070179707283	0.23274308658297113	1	4.Oed.Marg
2015-06-10	4	Oed	Thal	3	-0.06108194214269623	0.37749584174827733	0.21305227360697734	0.05580271815935542	0.2741342157496736	0.34855665095301014	0.016146314226262004	0.4359355032901845	1	4.Oed.Thal
2015-06-10	4	Peri	Marg	3	-0.3528058851718466	0.2869437019143258	0.3444602186196817	0.1968877299412303	0.6972661037915283	0.47140373856945944	-0.1495651870506467	0.3245449957189709	1	4.Peri.Marg
2015-06-10	4	Peri	Thal	3	0.09077372880835718	0.15990806208618863	0.26946691727606553	0.1405649169772049	0.17869318846770824	0.14952468452498513	-0.11968009122190204	0.3580459263150179	1	4.Peri.Thal
2015-06-11	1	Clad	Marg	3	-0.1213103224735951	0.6252747589824474	-0.07035990683418472	0.220454823758863	0.050950415639410475	0.48079529788414277	-0.14633991017907427	0.28801756467001305	2	1.Clad.Marg
2015-06-11	1	Clad	Thal	3	0.013911300516803985	0.07281895075506017	0.23591434051543703	0.13750145212929732	0.22200303999863305	0.06494035991251614	0.08562657383477776	0.07783006768964773	2	1.Clad.Thal
2015-06-11	1	Oed	Marg	3	-0.2868662036536321	0.30372031483101863	0.07880302675624766	0.4304752613068746	0.3656692304098797	0.44961924291054134	0.0776677389159098	0.35499877796406637	2	1.Oed.Marg
2015-06-11	1	Oed	Thal	2	-0.11468282967003682	0.2890150965680229	0.24572721423346622	0.1891249485525235	0.36041004390350295	0.4781400451205463	-0.09738074100363643	0.3584103246071406	2	1.Oed.Thal
2015-06-11	1	Peri	Marg	3	0.1549188259817354	0.31908652246486785	0.3279547213266099	0.3645239239526862	0.1730358953448746	0.045988958628334804	-0.09282225119603778	0.6224355571952696	2	1.Peri.Marg
2015-06-11	1	Peri	Thal	3	0.014901168259740388	0.444108565250637	0.0536324280287505	0.33359723034278793	-0.06379922145342995	0.24206746197360532	-0.2720913402511047	0.37517013459896154	2	1.Peri.Thal
2015-06-11	2	Clad	Marg	3	-0.260583729688174	0.21032941383537343	0.12608761514106	0.2757733109310918	0.386671344829234	0.11339620998630463	-0.2852486315872691	0.11800795451528338	2	2.Clad.Marg
2015-06-11	2	Clad	Thal	3	0.21624068229638194	0.09246071147807873	0.375365731049344	0.1459609633248903	0.15912504875296202	0.2379849251908188	0.11501457459475406	0.22127030066981443	2	2.Clad.Thal
2015-06-11	2	Oed	Marg	3	-0.5740696749736734	0.028660533449977117	-0.23815017774636027	0.3427056773050327	0.335919497227313	0.33669613086372074	-0.43581639772997577	0.11896227807515643	2	2.Oed.Marg
2015-06-11	2	Oed	Thal	3	-0.13955798389431015	0.1459710807548304	-0.016757045510184282	0.522764334649938	0.12280093838412597	0.6353820150929664	-0.1034497620699516	0.21258077219309798	2	2.Oed.Thal
2015-06-11	2	Peri	Marg	3	-0.20107945687618015	0.2653387861793801	0.15494037430967256	0.14601752428187081	0.3560198311858527	0.1193212618975094	-0.47150129766786386	0.6093850794678559	2	2.Peri.Marg
2015-06-11	2	Peri	Thal	3	0.10266291270175551	0.1025741099526728	0.3036210531282764	0.08455006850036838	0.20095814042652096	0.1748395801732859	-0.11308134514726345	0.18484767075292402	2	2.Peri.Thal
2015-06-11	3	Clad	Marg	3	-0.2520145208153664	0.0825786063505309	0.07468112883646807	0.15192382964761977	0.3266956496518345	0.17444178222849893	-0.04326979771852475	0.07789486537579579	2	3.Clad.Marg
2015-06-11	3	Clad	Thal	3	0.02427995301542087	0.2355187072128544	0.3916797856478029	0.21059822893673902	0.3673998326323821	0.22860159604126412	0.0018968051464276353	0.16502261833929388	2	3.Clad.Thal
2015-06-11	3	Oed	Marg	3	-0.3381043830016523	0.252840812028311	-0.3770835294883088	0.21446216254368278	-0.03897914648665659	0.058136946668965246	-0.22350921615362684	0.4183087695676891	2	3.Oed.Marg
2015-06-11	3	Oed	Thal	3	0.030173976516547	0.13116490992368862	0.23405118346955747	0.3439486309864861	0.2038772069530105	0.3021429335599323	0.021340120074487805	0.20400317278001137	2	3.Oed.Thal
2015-06-11	3	Peri	Marg	3	-0.3107687909640357	0.2734324904573299	0.3661911966020995	0.26474739732341257	0.6769599875661352	0.30774497846740195	-0.4138680164349864	0.0681208782107532	2	3.Peri.Marg
2015-06-11	3	Peri	Thal	2	-0.10147126135117382	0.39391848059618767	0.11002883197327137	0.5359176626416514	0.2115000933244452	0.14199918204546383	-0.25741148209930553	0.23165098586967744	2	3.Peri.Thal
2015-06-11	4	Clad	Marg	3	-0.15044183537145878	0.6225980742236545	0.533767051088333	0.8253238956195234	0.6842088864597918	0.47365932855453463	-0.07998048671958798	0.1987841369468868	2	4.Clad.Marg
2015-06-11	4	Clad	Thal	3	0.037216897662843584	0.1806425180322562	0.26104477102444074	0.4267783543603313	0.2238278733615971	0.4863555252235987	0.05830535451645735	0.13637364119831588	2	4.Clad.Thal
2015-06-11	4	Oed	Marg	3	-0.04639676061806363	0.20023448376271752	-0.27309285972344916	0.06544038509815396	-0.22669609910538566	0.24816699368259915	-0.2370533398938079	0.31258070462885146	2	4.Oed.Marg
2015-06-11	4	Oed	Thal	3	-0.015157160691133736	0.31934053005037316	0.4272595958391257	0.5702713936625878	0.4424167565302595	0.5699641066271076	-0.008239734943666433	0.3433644818885819	2	4.Oed.Thal
2015-06-11	4	Peri	Marg	3	-0.2379103874400002	0.36498765792854926	0.41299707058504254	0.11305252682735394	0.6509074580250427	0.3716756072576447	-0.2600145439470015	0.6168796316423049	2	4.Peri.Marg
2015-06-11	4	Peri	Thal	3	0.09038288947745098	0.23016847825794542	0.31231720645947375	0.09611680454774653	0.22193431698202282	0.14320139874528096	-0.24607734054441208	0.5281184035767748	2	4.Peri.Thal
2015-06-15	1	Clad	Marg	3	-0.33937215903731466	0.15856594508337604	-0.03813056229432366	0.09081321298911676	0.301241596742991	0.07208650617937257	-0.13780935730297003	0.18745932506868332	6	1.Clad.Marg
2015-06-15	1	Clad	Thal	3	-0.11851445856671897	0.08092658776186949	0.2184739185447923	0.19623828175143365	0.33698837711151136	0.13003744699435718	-0.04492678891133158	0.0843820393671448	6	1.Clad.Thal
2015-06-15	1	Oed	Marg	3	-0.46951197250161597	0.1914601918899088	-0.3902196677574248	0.31126778370520675	0.07929230474419109	0.3891281805536789	-0.02717233463503595	0.302114576298477	6	1.Oed.Marg
2015-06-15	1	Oed	Thal	3	-0.17645157880610307	0.35625126612464614	-0.15876537742806265	0.22069529680809008	0.017686201378040507	0.54885909576305	0.14264798932224912	0.5090885487058145	6	1.Oed.Thal
2015-06-15	1	Peri	Marg	3	-0.05170851873113608	0.3383189049001482	0.32129849567297747	0.2812952394629566	0.3730070144041135	0.07914367788823215	-0.3401023429889551	0.5703374262822302	6	1.Peri.Marg
