Date,ArrayID,CapID,Site,Loc,Algae,Treatment,Mem,info.Fo,Notes
9-Jun-15,2.1,A,2,2T,Clad,Thal,123,677,
9-Jun-15,2.1,B,2,2T,Oed,Thal,133,,w132
9-Jun-15,2.4,A,2,2M,Clad,Marg,142,1015,
9-Jun-15,2.4,B,2,2M,Oed,Marg,151,1140,error
9-Jun-15,1.1,A,1,1T,Clad,Thal,160,1114,
9-Jun-15,1.1,B,1,1T,Oed,Thal,169,934,
9-Jun-15,1.4,A,1,1M,Clad,Marg,178,903,
9-Jun-15,1.4,B,1,1M,Oed,Marg,187,1732,
9-Jun-15,c1.1,COB,1,1T,Peri,Thal,196,482,
9-Jun-15,c1.1,COB,1,1T,Peri,Thal,206,1600,redo_w205
9-Jun-15,2.4,B,2,2M,Oed,Marg,216,1030,redo_w215
9-Jun-15,c2.1,COB,1,1M,Peri,Marg,225,450,
9-Jun-15,c3.1,COB,2,2T,Peri,Thal,234,484,
9-Jun-15,c4.1,COB,2,2M,Peri,Marg,243,733,
9-Jun-15,3.1,A,3,3T,Clad,Thal,252,908,
9-Jun-15,3.1,B,3,3T,Oed,Thal,261,1122,
9-Jun-15,3.4,A,3,3M,Clad,Marg,270,655,
9-Jun-15,3.4,B,3,3M,Oed,Marg,279,954,
9-Jun-15,c5.1,COB,3,3T,Peri,Thal,288,599,
9-Jun-15,c6.1,COB,3,3M,Peri,Marg,298,581,w297
9-Jun-15,4.1,A,4,4T,Clad,Thal,308,723,w306
9-Jun-15,4.1,B,4,4T,Oed,Thal,317,1355,
9-Jun-15,4.4,A,4,4M,Clad,Marg,326,1035,
9-Jun-15,4.4,B,4,4M,Oed,Marg,335,1440,
9-Jun-15,c7.1,COB,4,4T,Peri,Thal,345,610,w344
9-Jun-15,c8.1,COB,4,4M,Peri,Marg,354,510,
9-Jun-15,1.2,C,1,1T,Clad,Thal,364,633,w363
9-Jun-15,1.2,D,1,1T,Oed,Thal,373,1099,
9-Jun-15,1.5,C,1,1M,Clad,Marg,382,772,
9-Jun-15,1.5,D,1,1M,Oed,Marg,391,1200,
9-Jun-15,c1.2,COB,1,1T,Peri,Thal,401,540,w400
9-Jun-15,c2.2,COB,1,1M,Peri,Marg,411,937,w410
9-Jun-15,3.2,C,3,3T,Clad,Thal,421,735,w420
9-Jun-15,3.2,D,3,3T,Oed,Thal,430,1212,
9-Jun-15,3.5,C,3,3M,Clad,Marg,439,800,
9-Jun-15,3.5,D,3,3M,Oed,Marg,448,1155,
9-Jun-15,c5.2,COB,3,3T,Peri,Thal,458,755,w457
9-Jun-15,c6.2,COB,3,3M,Peri,Marg,467,639,
9-Jun-15,4.2,C,4,4T,Clad,Thal,476,850,
9-Jun-15,4.2,C,4,4T,Clad,Thal,486,880,redo_w485
9-Jun-15,4.2,D,4,4T,Oed,Thal,495,1377,
9-Jun-15,4.5,C,4,4M,Clad,Marg,504,1344,redo
9-Jun-15,4.5,C,4,4M,Clad,Marg,513,0,
9-Jun-15,4.5,D,4,4M,Oed,Marg,522,1170,
9-Jun-15,c7.2,COB,4,4T,Peri,Thal,532,1210,w531
9-Jun-15,c8.2,COB,4,4M,Peri,Marg,541,470,
9-Jun-15,2.5,C,2,2M,Clad,Marg,551,784,w550
9-Jun-15,2.5,C,2,2M,Clad,Marg,561,652,redo_w559
9-Jun-15,2.5,D,2,2M,Oed,Marg,573,1022,error
9-Jun-15,c3.2,COB,2,2T,Peri,Thal,576,440,w575
9-Jun-15,c4.2,COB,2,2M,Peri,Marg,585,625,
9-Jun-15,2.5,D,2,2M,Oed,Marg,594,950,redo
9-Jun-15,2.2,D,2,2T,Oed,Thal,604,1215,w603
9-Jun-15,2.2,C,2,2T,Clad,Thal,613,811,
9-Jun-15,1.6,E,1,1M,Clad,Marg,622,615,
9-Jun-15,1.6,F,1,1M,Oed,Marg,631,989,
9-Jun-15,1.3,E,1,1T,Clad,Thal,640,850,
9-Jun-15,1.3,F,1,1T,Oed,Thal,649,940,
9-Jun-15,c1.3,COB,1,1T,Peri,Thal,658,256,
9-Jun-15,c2.3,COB,1,1M,Peri,Marg,667,425,
9-Jun-15,3.6,F,3,3M,Oed,Marg,676,1090,
9-Jun-15,3.6,E,3,3M,Clad,Marg,685,985,
9-Jun-15,3.3,E,3,3T,Clad,Thal,694,807,
9-Jun-15,3.3,F,3,3T,Oed,Thal,703,1111,
9-Jun-15,c5.3,COB,3,3T,Peri,Thal,713,625,w712
9-Jun-15,c6.3,COB,3,3M,Peri,Marg,723,575,w722
9-Jun-15,4.6,E,4,4M,Clad,Marg,732,655,
9-Jun-15,4.6,F,4,4M,Oed,Marg,741,930,
9-Jun-15,4.3,F,4,4T,Oed,Thal,750,995,
9-Jun-15,4.3,F,4,4T,Oed,Thal,759,1090,
9-Jun-15,4.3,E,4,4T,Clad,Thal,768,348,
9-Jun-15,4.3,E,4,4T,Clad,Thal,777,280,redo
9-Jun-15,c7.3,COB,4,4T,Peri,Thal,786,515,
9-Jun-15,c8.3,COB,4,4M,Peri,Marg,795,455,
9-Jun-15,2.6,F,2,2M,Oed,Marg,804,1060,
9-Jun-15,2.6,E,2,2M,Clad,Marg,813,1055,
9-Jun-15,2.3,F,2,2T,Oed,Thal,822,1060,
9-Jun-15,2.3,E,2,2T,Clad,Thal,831,673,
9-Jun-15,c3.3,COB,2,2T,Peri,Thal,840,635,
9-Jun-15,c4.3,COB,2,2M,Peri,Marg,849,570,
