Date,ArrayID,CapID,Site,Loc,Algae,Treatment,Mem,info.Fo,Notes
10-Jun-15,2.1,A,2,2T,Clad,Thal,1,394,
10-Jun-15,2.1,A,2,2T,Clad,Thal,11,482,w10
10-Jun-15,2.1,B,2,2T,Oed,Thal,20,1420,
10-Jun-15,2.4,A,2,2M,Clad,Marg,29,1094,
10-Jun-15,2.4,B,2,2M,Oed,Marg,39,992,w38
10-Jun-15,c3.1,COB,2,2T,Peri,Thal,49,430,w48
10-Jun-15,c4.1,COB,2,2M,Peri,Marg,60,457,
10-Jun-15,1.1,A,1,1T,Clad,Thal,73,,w72
10-Jun-15,1.1,B,1,1T,Oed,Thal,83,1090,w82
10-Jun-15,1.4,A,1,1M,Clad,Marg,92,688,
10-Jun-15,1.4,A,1,1M,Clad,Marg,102,,redo_w101
10-Jun-15,1.4,B,1,1M,Oed,Marg,112,,w111
10-Jun-15,c1.1,COB,1,1T,Peri,Thal,121,433,
10-Jun-15,c2.1,COB,1,1M,Peri,Marg,130,435,
10-Jun-15,c2.1,COB,1,1M,Peri,Marg,140,345,redo_w139
10-Jun-15,3.1,A,3,3T,Clad,Thal,150,500,w149
10-Jun-15,3.1,B,3,3T,Oed,Thal,160,969,w159
10-Jun-15,3.4,A,3,3M,Clad,Marg,170,,w169
10-Jun-15,3.4,B,3,3M,Oed,Marg,179,1200,
10-Jun-15,c5.1,COB,3,3T,Peri,Thal,189,480,w188
10-Jun-15,c5.1,COB,3,3T,Peri,Thal,199,383,redo_w198
10-Jun-15,c6.1,COB,3,3M,Peri,Marg,209,360,error_w208
10-Jun-15,4.1,A,4,4T,Clad,Thal,219,135,w218
10-Jun-15,4.1,B,4,4T,Oed,Thal,229,395,w228
10-Jun-15,4.4,A,4,4M,Clad,Marg,239,491,w238
10-Jun-15,4.4,B,4,4M,Oed,Marg,249,1420,w248
10-Jun-15,c8.1,COB,4,4M,Peri,Marg,258,410,
10-Jun-15,c6.1,COB,3,3M,Peri,Marg,267,355,
10-Jun-15,c7.1,COB,4,4T,Peri,Thal,277,735,w276
10-Jun-15,1.2,C,1,1T,Clad,Thal,287,1100,w286
10-Jun-15,1.2,D,1,1T,Oed,Thal,297,1600,w296
10-Jun-15,1.5,C,1,1M,Clad,Marg,307,,w306
10-Jun-15,1.5,D,1,1M,Oed,Marg,316,1300,
10-Jun-15,c2.2,COB,1,1M,Peri,Marg,328,328,badcurve_w327
10-Jun-15,c2.2,COB,1,1M,Peri,Marg,336,450,redo
10-Jun-15,3.2,C,3,3T,Clad,Thal,346,691,w345
10-Jun-15,3.2,D,3,3T,Oed,Thal,357,1144,w356
10-Jun-15,3.5,C,3,3M,Clad,Marg,367,845,w366
10-Jun-15,3.5,D,3,3M,Oed,Marg,377,1272,w376
10-Jun-15,c5.2,COB,3,3T,Peri,Thal,386,480,
10-Jun-15,c6.2,COB,3,3M,Peri,Marg,395,215,error130
10-Jun-15,c6.2,COB,3,3M,Peri,Marg,404,247,redo
10-Jun-15,4.2,D,4,4T,Oed,Thal,413,1376,
10-Jun-15,4.2,C,4,4T,Clad,Thal,423,720,w422
10-Jun-15,4.5,C,4,4M,Clad,Marg,436,1220,w435
10-Jun-15,4.5,D,4,4M,Oed,Marg,446,1007,w445
10-Jun-15,c1.2,COB,1,1T,Peri,Thal,455,325,
10-Jun-15,c7.2,COB,4,4T,Peri,Thal,464,582,
10-Jun-15,c8.2,COB,4,4M,Peri,Marg,473,457,
10-Jun-15,2.2,C,2,2T,Clad,Thal,483,720,w482
10-Jun-15,2.2,D,2,2T,Oed,Thal,493,900,w492
10-Jun-15,2.5,C,2,2M,Oed,Marg,503,570,w503
10-Jun-15,2.5,D,2,2M,Clad,Marg,513,1430,w512
10-Jun-15,c3.2,COB,2,2T,Peri,Thal,522,790,
10-Jun-15,c4.2,COB,2,2M,Peri,Marg,531,318,
10-Jun-15,1.3,E,1,1T,Clad,Thal,541,790,w540
10-Jun-15,1.3,F,1,1T,Oed,Thal,551,1230,w550
10-Jun-15,1.6,E,1,1M,Clad,Marg,561,625,w560
10-Jun-15,1.6,F,1,1M,Oed,Marg,571,1219,w570
10-Jun-15,c1.3,COB,1,1T,Peri,Thal,580,1030,
10-Jun-15,c2.3,COB,1,1M,Peri,Marg,589,345,
10-Jun-15,3.3,E,3,3T,Clad,Thal,598,1145,
10-Jun-15,3.3,F,3,3T,Oed,Thal,609,1400,oversat_w607
10-Jun-15,3.6,E,3,3M,Clad,Marg,619,496,w618
10-Jun-15,3.6,F,3,3M,Oed,Marg,628,660,
10-Jun-15,c6.3,COB,3,3M,Peri,Marg,640,372,
10-Jun-15,c6.3,COB,3,3M,Peri,Marg,649,254,redo
10-Jun-15,4.3,E,4,4T,Clad,Thal,659,540,w658
10-Jun-15,4.3,F,4,4T,Oed,Thal,669,1370,w669
10-Jun-15,4.6,E,4,4M,Clad,Marg,679,991,w678
10-Jun-15,4.6,F,4,4M,Oed,Marg,689,1270,w688
10-Jun-15,3.3,F,3,3T,Oed,Thal,699,1054,w698
10-Jun-15,c5.3,COB,3,3T,Peri,Thal,709,415,w708
10-Jun-15,c7.3,COB,4,4T,Peri,Thal,718,420,bumped LC8
10-Jun-15,c7.3,COB,4,4T,Peri,Thal,727,484,redo
10-Jun-15,c8.3,COB,4,4M,Peri,Marg,736,355,
10-Jun-15,2.3,E,2,2T,Clad,Thal,746,675,error_bumped_w745
10-Jun-15,2.3,F,2,2T,Oed,Thal,756,750,w755
10-Jun-15,2.6,E,2,2M,Clad,Marg,766,1010,w765
10-Jun-15,2.6,F,2,2M,Oed,Marg,776,1407,w775
10-Jun-15,c3.3,COB,2,2T,Peri,Thal,785,555,
10-Jun-15,c4.3,COB,2,2M,Peri,Marg,794,630,
10-Jun-15,2.3,E,2,2T,Clad,Thal,803,610,
