Date,ArrayID,CapID,Site,Loc,Algae,Treatment,Mem,info.Fo,Notes
11-Jun-15,1,G,1,1M,Blank,Marg,753,7,
11-Jun-15,1,H,1,1T,Blank,Thal,744,5,
11-Jun-15,1.1,A,1,1T,Clad,Thal,63,772,
11-Jun-15,1.1,B,1,1T,Oed,Thal,72,1226,
11-Jun-15,1.2,C,1,1T,Clad,Thal,272,1180,
11-Jun-15,1.2,D,1,1T,Oed,Thal,283,1600,
11-Jun-15,1.3,E,1,1T,Clad,Thal,505,520,
11-Jun-15,1.3,F,1,1T,Oed,Thal,515,1350,
11-Jun-15,1.4,A,1,1M,Clad,Marg,74,365,
11-Jun-15,1.4,B,1,1M,Oed,Marg,84,1325,
11-Jun-15,1.5,C,1,1M,Clad,Marg,293,710,
11-Jun-15,1.5,D,1,1M,Oed,Marg,303,1160,
11-Jun-15,1.6,E,1,1M,Clad,Marg,525,531,
11-Jun-15,1.6,F,1,1M,Oed,Marg,535,1185,
11-Jun-15,2,G,2,2M,Blank,Marg,782,-5,
11-Jun-15,2,H,2,2T,Blank,Thal,773,,
11-Jun-15,2.1,A,2,2T,Clad,Thal,12,638,
11-Jun-15,2.1,B,2,2T,Oed,Thal,21,,error_sigOverflow
11-Jun-15,2.1,B,2,2T,Oed,Thal,262,1090,
11-Jun-15,2.2,C,2,2T,Clad,Thal,438,800,
11-Jun-15,2.2,D,2,2T,Oed,Thal,447,1244,
11-Jun-15,2.3,E,2,2T,Clad,Thal,667,925,
11-Jun-15,2.3,F,2,2T,Oed,Thal,677,1400,
11-Jun-15,2.4,A,2,2M,Clad,Marg,25,700,
11-Jun-15,2.4,B,2,2M,Oed,Marg,35,1420,
11-Jun-15,2.5,C,2,2M,Clad,Marg,467,390,
11-Jun-15,2.5,D,2,2M,Oed,Marg,477,1511,
11-Jun-15,2.6,E,2,2M,Clad,Marg,687,1100,
11-Jun-15,2.6,F,2,2M,Oed,Marg,697,1720,
11-Jun-15,3,G,3,3M,Blank,Marg,800,-3,
11-Jun-15,3,H,3,3T,Blank,Thal,791,15,
11-Jun-15,3.1,A,3,3T,Clad,Thal,135,790,
11-Jun-15,3.1,B,3,3T,Oed,Thal,145,1335,
11-Jun-15,3.2,C,3,3T,Clad,Thal,360,850,
11-Jun-15,3.2,D,3,3T,Oed,Thal,457,1220,
11-Jun-15,3.3,E,3,3T,Clad,Thal,725,1158,
11-Jun-15,3.3,F,3,3T,Oed,Thal,735,1900,oversat
11-Jun-15,3.3,F,3,3T,Oed,Thal,763,1240,
11-Jun-15,3.4,A,3,3M,Clad,Marg,155,470,
11-Jun-15,3.4,B,3,3M,Oed,Marg,165,1280,
11-Jun-15,3.5,C,3,3M,Clad,Marg,331,900,
11-Jun-15,3.5,D,3,3M,Oed,Marg,341,1303,
11-Jun-15,3.6,E,3,3M,Clad,Marg,564,960,
11-Jun-15,3.6,F,3,3M,Oed,Marg,574,1370,
11-Jun-15,4,G,4,4M,Blank,Marg,818,-5,
11-Jun-15,4,H,4,4T,Blank,Thal,809,66,
11-Jun-15,4.1,A,4,4T,Clad,Thal,202,640,
11-Jun-15,4.1,B,4,4T,Oed,Thal,212,1640,
11-Jun-15,4.2,C,4,4T,Clad,Thal,380,1000,
11-Jun-15,4.2,D,4,4T,Oed,Thal,390,,
11-Jun-15,4.3,E,4,4T,Clad,Thal,621,,
11-Jun-15,4.3,E,4,4T,Clad,Thal,658,408,redo
11-Jun-15,4.3,F,4,4T,Oed,Thal,630,1755,
11-Jun-15,4.4,A,4,4M,Clad,Marg,222,660,
11-Jun-15,4.4,B,4,4M,Oed,Marg,232,1275,
11-Jun-15,4.5,C,4,4M,Clad,Marg,400,970,
11-Jun-15,4.5,D,4,4M,Oed,Marg,410,1500,
11-Jun-15,4.6,E,4,4M,Clad,Marg,602,466,
11-Jun-15,4.6,F,4,4M,Oed,Marg,612,,
11-Jun-15,c1.1,COB,1,1T,Peri,Thal,107,360,
11-Jun-15,c1.2,COB,1,1T,Peri,Thal,312,340,
11-Jun-15,c1.3,COB,1,1T,Peri,Thal,545,280,
11-Jun-15,c2.1,COB,1,1M,Peri,Marg,116,300,
11-Jun-15,c2.1,COB,1,1M,Peri,Marg,125,336,redo
11-Jun-15,c2.2,COB,1,1M,Peri,Marg,321,377,
11-Jun-15,c2.3,COB,1,1M,Peri,Marg,554,345,
11-Jun-15,c3.1,COB,2,2T,Peri,Thal,44,365,
11-Jun-15,c3.2,COB,2,2T,Peri,Thal,486,454,
11-Jun-15,c3.3,COB,2,2T,Peri,Thal,706,645,
11-Jun-15,c4.1,COB,2,2M,Peri,Marg,53,320,
11-Jun-15,c4.2,COB,2,2M,Peri,Marg,495,500,
11-Jun-15,c4.3,COB,2,2M,Peri,Marg,715,540,
11-Jun-15,c5.1,COB,3,3T,Peri,Thal,174,280,
11-Jun-15,c5.2,COB,3,3T,Peri,Thal,351,425,
11-Jun-15,c5.3,COB,3,3T,Peri,Thal,583,519,
11-Jun-15,c6.1,COB,3,3M,Peri,Marg,183,287,error_130
11-Jun-15,c6.1,COB,3,3M,Peri,Marg,192,340,redo
11-Jun-15,c6.2,COB,3,3M,Peri,Marg,370,260,
11-Jun-15,c6.3,COB,3,3M,Peri,Marg,592,535,
11-Jun-15,c7.1,COB,4,4T,Peri,Thal,241,470,
11-Jun-15,c7.2,COB,4,4T,Peri,Thal,419,350,
11-Jun-15,c7.3,COB,4,4T,Peri,Thal,639,515,
11-Jun-15,c8.1,COB,4,4M,Peri,Marg,252,380,
11-Jun-15,c8.2,COB,4,4M,Peri,Marg,428,455,
11-Jun-15,c8.3,COB,4,4M,Peri,Marg,648,402,
