"2015-06-16";"07:08:34";"WinControl (rev 848) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2015-06-15 09:36:58.999";"1434386218999";"0";"2015-06-15";"09:36:58";"SLCS";"";"Light Curve start ";""
"2015-06-15 09:36:58.999";"1434386218999";"0";"2015-06-15";"09:36:58";"SCHS";"";"Chart start ";""
"2015-06-15 09:36:58.999";"1434386218999";"0";"2015-06-15";"09:36:58";"REG1";"";"#1: alpha: 0.170, ETRm: 173.150, Ik: 1021.087   ( beta: 0.573, ETRmPot: 1819.691 ) ";""
"2015-06-15 09:36:58.999";"1434386218999";"0";"2015-06-15";"09:36:58";"REG2";"";"#1: alpha: 0.149, ETRm: 171.255, Ik: 1145.768 ";""
"2015-06-15 09:36:59.000";"1434386219000";"1";"2015-06-15";"09:36:59";"FO";"113";"906";"2320";"1";"17.0";"0.609";"0.3";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"906";"2320";"0.609"
"2015-06-15 09:37:18.000";"1434386238000";"19001";"2015-06-15";"09:37:18";"F";"114";"986";"1418";"335";"17.0";"0.305";"42.9";"726";"0.84";"0.5";"0.624";"0.511";"0.459";"0.636";"0.425";"0.270";"906";"2320";"0.609"
"2015-06-15 09:37:37.000";"1434386257000";"38001";"2015-06-15";"09:37:37";"F";"115";"798";"1195";"486";"17.0";"0.332";"67.8";"662";"0.84";"0.5";"0.745";"0.623";"0.618";"0.941";"0.344";"0.324";"906";"2320";"0.609"
"2015-06-15 09:37:57.000";"1434386277000";"58001";"2015-06-15";"09:37:57";"F";"116";"725";"1086";"652";"17.0";"0.332";"90.9";"628";"0.84";"0.5";"0.788";"0.676";"0.683";"1.136";"0.313";"0.355";"906";"2320";"0.609"
"2015-06-15 09:38:17.000";"1434386297000";"78001";"2015-06-15";"09:38:17";"F";"117";"692";"974";"975";"17.0";"0.290";"118.8";"588";"0.84";"0.5";"0.731";"0.727";"0.621";"1.382";"0.298";"0.412";"906";"2320";"0.609"
"2015-06-15 09:38:36.000";"1434386316000";"97001";"2015-06-15";"09:38:36";"F";"118";"675";"901";"1302";"17.0";"0.251";"137.3";"561";"0.84";"0.5";"0.665";"0.760";"0.553";"1.575";"0.291";"0.458";"906";"2320";"0.609"
"2015-06-15 09:38:56.000";"1434386336000";"117001";"2015-06-15";"09:38:56";"F";"119";"651";"828";"1803";"17.0";"0.214";"162.1";"532";"0.84";"0.5";"0.598";"0.791";"0.489";"1.802";"0.281";"0.505";"906";"2320";"0.609"
"2015-06-15 09:39:15.000";"1434386355000";"136001";"2015-06-15";"09:39:15";"F";"120";"637";"752";"2632";"17.0";"0.153";"169.1";"499";"0.84";"0.5";"0.455";"0.821";"0.356";"2.085";"0.275";"0.572";"906";"2320";"0.609"
"2015-06-15 09:39:35.000";"1434386375000";"156001";"2015-06-15";"09:39:35";"F";"121";"607";"680";"3711";"17.0";"0.107";"166.8";"467";"0.84";"0.5";"0.343";"0.849";"0.264";"2.412";"0.262";"0.631";"906";"2320";"0.609"
"2015-06-15 09:39:35.001";"1434386375001";"156002";"2015-06-15";"09:39:35";"SLCE";"";"Light Curve end ";""
"2015-06-15 09:41:48.998";"1434386508998";"289999";"2015-06-15";"09:41:48";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=95;CW=0:30;CI=1;LW=0:20;LI=2;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-15 09:41:48.999";"1434386508999";"290000";"2015-06-15";"09:41:48";"SLCS";"";"Light Curve start ";""
"2015-06-15 09:41:48.999";"1434386508999";"290000";"2015-06-15";"09:41:48";"REG1";"";"#1: Error: Not enough measures for calculating regression data ";""
"2015-06-15 09:41:48.999";"1434386508999";"290000";"2015-06-15";"09:41:48";"REG2";"";"#1: Error: Not enough measures for calculating regression data ";""
"2015-06-15 09:41:49.000";"1434386509000";"290001";"2015-06-15";"09:41:49";"FO";"123";"2240";"3997";"1";"17.0";"0.440";"0.2";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"2240";"3997";"0.440"
"2015-06-15 09:42:07.000";"1434386527000";"308001";"2015-06-15";"09:42:07";"F";"124";"23";"22";"154";"17.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"2240";"3997";"0.440"
"2015-06-15 09:42:27.000";"1434386547000";"328001";"2015-06-15";"09:42:27";"F";"125";"20";"24";"335";"17.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"2240";"3997";"0.440"
"2015-06-15 09:42:45.998";"1434386565998";"346999";"2015-06-15";"09:42:45";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=95;CW=0:30;CI=1;LW=0:20;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-15 09:42:46.000";"1434386566000";"347001";"2015-06-15";"09:42:46";"F";"127";"21";"22";"652";"18.0";"-";"-";"-";"0.84";"0.6";"-";"-";"-";"-";"-";"-";"2240";"3997";"0.440"
"2015-06-15 09:42:46.001";"1434386566001";"347002";"2015-06-15";"09:42:46";"SLCE";"";"Light Curve end ";""
"2015-06-15 09:44:07.999";"1434386647999";"429000";"2015-06-15";"09:44:07";"SLCS";"";"Light Curve start ";""
"2015-06-15 09:44:07.999";"1434386647999";"429000";"2015-06-15";"09:44:07";"REG1";"";"#1: alpha: 0.125, ETRm: 123.952, Ik: 994.560   ( beta: 0.000, ETRmPot: 125.960 ) ";""
"2015-06-15 09:44:07.999";"1434386647999";"429000";"2015-06-15";"09:44:07";"REG2";"";"#1: alpha: 0.098, ETRm: 118.826, Ik: 1208.279 ";""
"2015-06-15 09:44:08.000";"1434386648000";"429001";"2015-06-15";"09:44:08";"FO";"128";"656";"1351";"1";"17.0";"0.514";"0.2";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"656";"1351";"0.514"
"2015-06-15 09:44:26.000";"1434386666000";"447001";"2015-06-15";"09:44:26";"F";"129";"585";"744";"335";"18.0";"0.214";"30.1";"470";"0.84";"0.5";"0.580";"0.606";"0.466";"0.816";"0.433";"0.353";"656";"1351";"0.514"
"2015-06-15 09:44:46.000";"1434386686000";"467001";"2015-06-15";"09:44:46";"F";"130";"516";"673";"486";"18.0";"0.233";"47.6";"441";"0.84";"0.6";"0.677";"0.666";"0.579";"1.007";"0.382";"0.385";"656";"1351";"0.514"
"2015-06-15 09:45:06.000";"1434386706000";"487001";"2015-06-15";"09:45:06";"F";"131";"486";"626";"652";"18.0";"0.224";"61.3";"420";"0.84";"0.5";"0.680";"0.704";"0.588";"1.158";"0.360";"0.416";"656";"1351";"0.514"
"2015-06-15 09:45:25.000";"1434386725000";"506001";"2015-06-15";"09:45:25";"F";"132";"460";"569";"975";"18.0";"0.192";"78.6";"393";"0.84";"0.6";"0.619";"0.747";"0.529";"1.374";"0.340";"0.468";"656";"1351";"0.514"
"2015-06-15 09:45:45.000";"1434386745000";"526001";"2015-06-15";"09:45:45";"F";"133";"441";"533";"1302";"17.0";"0.173";"94.6";"376";"0.84";"0.6";"0.586";"0.774";"0.500";"1.535";"0.326";"0.501";"656";"1351";"0.514"
"2015-06-15 09:46:04.000";"1434386764000";"545001";"2015-06-15";"09:46:04";"F";"134";"427";"495";"1803";"18.0";"0.137";"103.7";"357";"0.84";"0.6";"0.493";"0.801";"0.412";"1.729";"0.316";"0.547";"656";"1351";"0.514"
"2015-06-15 09:46:24.000";"1434386784000";"565001";"2015-06-15";"09:46:24";"F";"135";"416";"463";"2632";"18.0";"0.102";"112.8";"340";"0.84";"0.6";"0.382";"0.823";"0.312";"1.918";"0.308";"0.590";"656";"1351";"0.514"
"2015-06-15 09:46:44.000";"1434386804000";"585001";"2015-06-15";"09:46:44";"F";"136";"407";"442";"3711";"18.0";"0.079";"123.1";"328";"0.84";"0.6";"0.307";"0.836";"0.247";"2.057";"0.301";"0.620";"656";"1351";"0.514"
"2015-06-15 09:46:44.001";"1434386804001";"585002";"2015-06-15";"09:46:44";"SLCE";"";"Light Curve end ";""
"2015-06-15 09:49:12.998";"1434386952998";"733999";"2015-06-15";"09:49:12";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=95;CW=0:30;CI=1;LW=0:20;LI=2;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-15 09:49:12.999";"1434386952999";"734000";"2015-06-15";"09:49:12";"SLCS";"";"Light Curve start ";""
"2015-06-15 09:49:12.999";"1434386952999";"734000";"2015-06-15";"09:49:12";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 66.410 ) ";""
"2015-06-15 09:49:12.999";"1434386952999";"734000";"2015-06-15";"09:49:12";"REG2";"";"#1: alpha: 0.096, ETRm: 67.037, Ik: 697.934 ";""
"2015-06-15 09:49:13.000";"1434386953000";"734001";"2015-06-15";"09:49:13";"FO";"138";"1330";"2362";"1";"18.0";"0.437";"0.2";"-";"0.84";"0.6";"-";"-";"-";"-";"-";"-";"1330";"2362";"0.437"
"2015-06-15 09:49:31.000";"1434386971000";"752001";"2015-06-15";"09:49:31";"F";"139";"1031";"1353";"154";"18.0";"0.238";"15.4";"937";"0.84";"0.6";"0.774";"0.597";"0.703";"0.746";"0.436";"0.326";"1330";"2362";"0.437"
"2015-06-15 09:49:51.000";"1434386991000";"772001";"2015-06-15";"09:49:51";"F";"140";"785";"997";"335";"18.0";"0.213";"30.0";"751";"0.84";"0.6";"0.862";"0.762";"0.825";"1.369";"0.332";"0.455";"1330";"2362";"0.437"
"2015-06-15 09:50:11.000";"1434387011000";"792001";"2015-06-15";"09:50:11";"F";"141";"734";"915";"486";"18.0";"0.198";"40.4";"704";"0.84";"0.6";"0.858";"0.796";"0.823";"1.581";"0.311";"0.491";"1330";"2362";"0.437"
"2015-06-15 09:50:30.000";"1434387030000";"811001";"2015-06-15";"09:50:30";"F";"142";"681";"838";"652";"18.0";"0.187";"51.2";"657";"0.84";"0.6";"0.867";"0.825";"0.836";"1.819";"0.288";"0.525";"1330";"2362";"0.437"
"2015-06-15 09:50:50.000";"1434387050000";"831001";"2015-06-15";"09:50:50";"F";"143";"596";"694";"975";"18.0";"0.141";"57.7";"565";"0.84";"0.6";"0.760";"0.875";"0.720";"2.403";"0.252";"0.607";"1330";"2362";"0.437"
"2015-06-15 09:51:09.000";"1434387069000";"850001";"2015-06-15";"09:51:09";"F";"144";"548";"615";"1302";"18.0";"0.109";"59.6";"512";"0.84";"0.6";"0.650";"0.900";"0.607";"2.841";"0.232";"0.659";"1330";"2362";"0.437"
"2015-06-15 09:51:29.000";"1434387089000";"870001";"2015-06-15";"09:51:29";"F";"145";"511";"561";"1803";"18.0";"0.089";"67.4";"474";"0.84";"0.6";"0.575";"0.916";"0.533";"3.210";"0.216";"0.695";"1330";"2362";"0.437"
"2015-06-15 09:51:49.000";"1434387109000";"890001";"2015-06-15";"09:51:49";"F";"146";"491";"524";"2632";"18.0";"0.063";"69.6";"447";"0.84";"0.6";"0.429";"0.925";"0.391";"3.508";"0.208";"0.729";"1330";"2362";"0.437"
"2015-06-15 09:51:49.001";"1434387109001";"890002";"2015-06-15";"09:51:49";"SLCE";"";"Light Curve end ";""
"2015-06-15 09:53:55.999";"1434387235999";"1017000";"2015-06-15";"09:53:55";"SLCS";"";"Light Curve start ";""
"2015-06-15 09:53:55.999";"1434387235999";"1017000";"2015-06-15";"09:53:55";"REG1";"";"#1: alpha: 0.091, ETRm: 32.819, Ik: 359.351   ( beta: 0.000, ETRmPot: 33.640 ) ";""
"2015-06-15 09:53:55.999";"1434387235999";"1017000";"2015-06-15";"09:53:55";"REG2";"";"#1: alpha: 0.068, ETRm: 32.424, Ik: 475.942 ";""
"2015-06-15 09:53:56.000";"1434387236000";"1017001";"2015-06-15";"09:53:56";"FO";"147";"421";"675";"1";"18.0";"0.376";"0.2";"-";"0.84";"0.6";"-";"-";"-";"-";"-";"-";"421";"675";"0.376"
"2015-06-15 09:54:14.000";"1434387254000";"1035001";"2015-06-15";"09:54:14";"F";"148";"358";"437";"154";"18.0";"0.181";"11.7";"314";"0.84";"0.6";"0.642";"0.516";"0.563";"0.545";"0.530";"0.289";"421";"675";"0.376"
"2015-06-15 09:54:34.000";"1434387274000";"1055001";"2015-06-15";"09:54:34";"F";"149";"344";"399";"335";"18.0";"0.138";"19.4";"294";"0.84";"0.6";"0.524";"0.587";"0.448";"0.692";"0.510";"0.352";"421";"675";"0.376"
"2015-06-15 09:54:54.000";"1434387294000";"1075001";"2015-06-15";"09:54:54";"F";"150";"330";"375";"486";"18.0";"0.120";"24.5";"281";"0.84";"0.6";"0.479";"0.630";"0.408";"0.800";"0.489";"0.391";"421";"675";"0.376"
"2015-06-15 09:55:13.000";"1434387313000";"1094001";"2015-06-15";"09:55:13";"F";"151";"321";"357";"652";"18.0";"0.101";"27.7";"271";"0.84";"0.6";"0.419";"0.661";"0.354";"0.891";"0.476";"0.423";"421";"675";"0.376"
"2015-06-15 09:55:33.000";"1434387333000";"1114001";"2015-06-15";"09:55:33";"F";"152";"315";"342";"975";"18.0";"0.079";"32.4";"262";"0.84";"0.6";"0.338";"0.685";"0.281";"0.974";"0.467";"0.454";"421";"675";"0.376"
"2015-06-15 09:55:52.000";"1434387352000";"1133001";"2015-06-15";"09:55:52";"F";"153";"307";"326";"1302";"18.0";"0.058";"31.7";"252";"0.84";"0.6";"0.257";"0.709";"0.211";"1.071";"0.455";"0.487";"421";"675";"0.376"
"2015-06-15 09:56:12.000";"1434387372000";"1153001";"2015-06-15";"09:56:12";"F";"154";"298";"311";"1803";"18.0";"0.042";"31.8";"243";"0.84";"0.6";"0.191";"0.732";"0.156";"1.170";"0.441";"0.517";"421";"675";"0.376"
"2015-06-15 09:56:32.000";"1434387392000";"1173001";"2015-06-15";"09:56:32";"F";"155";"287";"296";"2632";"18.0";"0.030";"33.2";"234";"0.84";"0.7";"0.145";"0.756";"0.118";"1.280";"0.425";"0.545";"421";"675";"0.376"
"2015-06-15 09:56:32.001";"1434387392001";"1173002";"2015-06-15";"09:56:32";"SLCE";"";"Light Curve end ";""
"2015-06-15 09:59:11.999";"1434387551999";"1333000";"2015-06-15";"09:59:11";"SLCS";"";"Light Curve start ";""
"2015-06-15 09:59:11.999";"1434387551999";"1333000";"2015-06-15";"09:59:11";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 70.779 ) ";""
"2015-06-15 09:59:11.999";"1434387551999";"1333000";"2015-06-15";"09:59:11";"REG2";"";"#1: alpha: 0.074, ETRm: 74.373, Ik: 1007.085 ";""
"2015-06-15 09:59:12.000";"1434387552000";"1333001";"2015-06-15";"09:59:12";"FO";"156";"303";"503";"1";"19.0";"0.398";"0.2";"-";"0.84";"0.7";"-";"-";"-";"-";"-";"-";"303";"503";"0.398"
"2015-06-15 09:59:31.000";"1434387571000";"1352001";"2015-06-15";"09:59:31";"F";"157";"245";"309";"154";"19.0";"0.207";"13.4";"220";"0.84";"0.7";"0.719";"0.555";"0.646";"0.628";"0.487";"0.306";"303";"503";"0.398"
"2015-06-15 09:59:51.000";"1434387591000";"1372001";"2015-06-15";"09:59:51";"F";"158";"222";"274";"335";"19.0";"0.190";"26.7";"202";"0.84";"0.7";"0.722";"0.640";"0.657";"0.836";"0.441";"0.369";"303";"503";"0.398"
"2015-06-15 10:00:10.000";"1434387610000";"1391001";"2015-06-15";"10:00:10";"F";"159";"209";"251";"486";"19.0";"0.167";"34.1";"189";"0.84";"0.7";"0.677";"0.690";"0.612";"1.004";"0.416";"0.417";"303";"503";"0.398"
"2015-06-15 10:00:30.000";"1434387630000";"1411001";"2015-06-15";"10:00:30";"F";"160";"196";"235";"652";"19.0";"0.166";"45.5";"180";"0.84";"0.7";"0.709";"0.725";"0.651";"1.140";"0.390";"0.444";"303";"503";"0.398"
"2015-06-15 10:00:49.000";"1434387649000";"1430001";"2015-06-15";"10:00:49";"F";"161";"188";"215";"975";"19.0";"0.126";"51.6";"168";"0.84";"0.7";"0.574";"0.765";"0.513";"1.340";"0.374";"0.500";"303";"503";"0.398"
"2015-06-15 10:01:09.000";"1434387669000";"1450001";"2015-06-15";"10:01:09";"F";"162";"173";"194";"1302";"17.0";"0.108";"59.1";"155";"0.84";"0.7";"0.538";"0.805";"0.482";"1.593";"0.344";"0.548";"303";"503";"0.398"
"2015-06-15 10:01:29.000";"1434387689000";"1470001";"2015-06-15";"10:01:29";"F";"163";"161";"178";"1803";"19.0";"0.096";"72.7";"144";"0.84";"0.7";"0.500";"0.830";"0.447";"1.826";"0.320";"0.584";"303";"503";"0.398"
"2015-06-15 10:01:48.000";"1434387708000";"1489001";"2015-06-15";"10:01:48";"F";"164";"151";"162";"2632";"19.0";"0.068";"75.2";"134";"0.84";"0.7";"0.393";"0.860";"0.349";"2.105";"0.300";"0.632";"303";"503";"0.398"
"2015-06-15 10:01:48.001";"1434387708001";"1489002";"2015-06-15";"10:01:48";"SLCE";"";"Light Curve end ";""
"2015-06-15 10:04:08.998";"1434387848998";"1629999";"2015-06-15";"10:04:08";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=95;CW=0:30;CI=1;LW=0:20;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-15 10:04:08.999";"1434387848999";"1630000";"2015-06-15";"10:04:08";"SLCS";"";"Light Curve start ";""
"2015-06-15 10:04:08.999";"1434387848999";"1630000";"2015-06-15";"10:04:08";"REG1";"";"#1: alpha: 0.148, ETRm: 138.196, Ik: 935.260   ( beta: 0.451, ETRmPot: 1328.777 ) ";""
"2015-06-15 10:04:08.999";"1434387848999";"1630000";"2015-06-15";"10:04:08";"REG2";"";"#1: alpha: 0.131, ETRm: 134.821, Ik: 1025.700 ";""
"2015-06-15 10:04:09.000";"1434387849000";"1630001";"2015-06-15";"10:04:09";"FO";"166";"913";"2143";"1";"19.0";"0.574";"0.2";"-";"0.84";"0.7";"-";"-";"-";"-";"-";"-";"913";"2143";"0.574"
"2015-06-15 10:04:27.000";"1434387867000";"1648001";"2015-06-15";"10:04:27";"F";"167";"885";"1256";"335";"19.0";"0.295";"41.5";"702";"0.84";"0.7";"0.670";"0.550";"0.531";"0.706";"0.413";"0.292";"913";"2143";"0.574"
"2015-06-15 10:04:47.000";"1434387887000";"1668001";"2015-06-15";"10:04:47";"F";"168";"826";"1155";"486";"19.0";"0.285";"58.2";"669";"0.84";"0.7";"0.677";"0.605";"0.548";"0.855";"0.385";"0.330";"913";"2143";"0.574"
"2015-06-15 10:05:06.000";"1434387906000";"1687001";"2015-06-15";"10:05:06";"F";"169";"796";"1101";"652";"19.0";"0.277";"75.9";"651";"0.84";"0.7";"0.678";"0.634";"0.554";"0.946";"0.371";"0.352";"913";"2143";"0.574"
"2015-06-15 10:05:26.000";"1434387926000";"1707001";"2015-06-15";"10:05:26";"F";"170";"767";"1010";"975";"19.0";"0.241";"98.7";"618";"0.84";"0.7";"0.620";"0.681";"0.500";"1.122";"0.358";"0.401";"913";"2143";"0.574"
"2015-06-15 10:05:46.000";"1434387946000";"1727001";"2015-06-15";"10:05:46";"F";"171";"743";"944";"1302";"19.0";"0.213";"116.5";"592";"0.84";"0.7";"0.571";"0.714";"0.455";"1.270";"0.347";"0.440";"913";"2143";"0.574"
"2015-06-15 10:06:05.000";"1434387965000";"1746001";"2015-06-15";"10:06:05";"F";"172";"745";"899";"1803";"18.0";"0.171";"129.5";"574";"0.84";"0.7";"0.474";"0.736";"0.365";"1.384";"0.348";"0.481";"913";"2143";"0.574"
"2015-06-15 10:06:25.000";"1434387985000";"1766001";"2015-06-15";"10:06:25";"F";"173";"728";"832";"2632";"19.0";"0.125";"138.2";"546";"0.84";"0.7";"0.364";"0.767";"0.273";"1.576";"0.340";"0.535";"913";"2143";"0.574"
"2015-06-15 10:06:44.000";"1434388004000";"1785001";"2015-06-15";"10:06:44";"F";"174";"704";"767";"3711";"19.0";"0.082";"127.8";"517";"0.84";"0.7";"0.252";"0.797";"0.185";"1.794";"0.329";"0.589";"913";"2143";"0.574"
"2015-06-15 10:06:44.001";"1434388004001";"1785002";"2015-06-15";"10:06:44";"SLCE";"";"Light Curve end ";""
"2015-06-15 10:08:26.998";"1434388106998";"1887999";"2015-06-15";"10:08:26";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=95;CW=0:30;CI=1;LW=0:20;LI=2;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-15 10:08:26.999";"1434388106999";"1888000";"2015-06-15";"10:08:26";"SLCS";"";"Light Curve start ";""
"2015-06-15 10:08:26.999";"1434388106999";"1888000";"2015-06-15";"10:08:26";"REG1";"";"#1: alpha: 0.191, ETRm: 79.553, Ik: 416.370   ( beta: 0.031, ETRmPot: 127.153 ) ";""
"2015-06-15 10:08:26.999";"1434388106999";"1888000";"2015-06-15";"10:08:26";"REG2";"";"#1: alpha: 0.162, ETRm: 75.727, Ik: 466.989 ";""
"2015-06-15 10:08:27.000";"1434388107000";"1888001";"2015-06-15";"10:08:27";"FO";"176";"1541";"3333";"1";"19.0";"0.538";"0.2";"-";"0.84";"0.7";"-";"-";"-";"-";"-";"-";"1541";"3333";"0.538"
"2015-06-15 10:08:46.000";"1434388126000";"1907001";"2015-06-15";"10:08:46";"F";"177";"1455";"2116";"154";"19.0";"0.312";"20.2";"1217";"0.84";"0.7";"0.735";"0.498";"0.615";"0.575";"0.437";"0.251";"1541";"3333";"0.538"
"2015-06-15 10:09:05.000";"1434388145000";"1926001";"2015-06-15";"10:09:05";"F";"178";"1127";"1566";"335";"19.0";"0.280";"39.4";"1013";"0.84";"0.7";"0.794";"0.691";"0.714";"1.128";"0.338";"0.382";"1541";"3333";"0.538"
"2015-06-15 10:09:25.000";"1434388165000";"1946001";"2015-06-15";"10:09:25";"F";"179";"1167";"1674";"486";"19.0";"0.303";"61.8";"1057";"0.84";"0.7";"0.822";"0.656";"0.745";"0.991";"0.350";"0.347";"1541";"3333";"0.538"
"2015-06-15 10:09:45.000";"1434388185000";"1966001";"2015-06-15";"10:09:45";"F";"180";"1218";"1677";"652";"19.0";"0.274";"75.0";"1058";"0.84";"0.7";"0.742";"0.655";"0.645";"0.987";"0.365";"0.361";"1541";"3333";"0.538"
"2015-06-15 10:10:04.000";"1434388204000";"1985001";"2015-06-15";"10:10:04";"F";"181";"1036";"1283";"975";"20.0";"0.193";"79.0";"886";"0.84";"0.7";"0.622";"0.778";"0.532";"1.598";"0.311";"0.496";"1541";"3333";"0.538"
"2015-06-15 10:10:24.000";"1434388224000";"2005001";"2015-06-15";"10:10:24";"F";"182";"858";"999";"1302";"19.0";"0.141";"77.1";"741";"0.84";"0.7";"0.547";"0.856";"0.472";"2.336";"0.257";"0.602";"1541";"3333";"0.538"
