"2015-06-11";"05:58:41";"WinControl (rev 848) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:Mark";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"2015-06-10 10:54:54.999";"1433958894999";"930000";"2015-06-10";"10:54:54";"REG1";"";"#1: alpha: 0.107, ETRm: 88.524, Ik: 828.811   ( beta: 0.151, ETRmPot: 454.389 ) ";""
"2015-06-10 10:54:54.999";"1433958894999";"930000";"2015-06-10";"10:54:54";"REG2";"";"#1: alpha: 0.097, ETRm: 84.527, Ik: 874.945 ";""
"2015-06-10 10:54:55.000";"1433958895000";"930001";"2015-06-10";"10:54:55";"FO";"29";"l";"1094";"2529";"1";"24.0";"0.567";"0.2";"-";"0.84";"0.8";"-";"-";"-";"-";"-";"-";"1094";"2529";"0.567"
"2015-06-10 10:55:14.000";"1433958914000";"949001";"2015-06-10";"10:55:14";"F";"30";"A";"1142";"1442";"335";"24.0";"0.208";"29.3";"825";"0.84";"0.8";"0.486";"0.570";"0.351";"0.754";"0.452";"0.340";"1094";"2529";"0.567"
"2015-06-10 10:55:33.000";"1433958933000";"968001";"2015-06-10";"10:55:33";"F";"31";"A";"983";"1243";"486";"25.0";"0.209";"42.7";"756";"0.84";"0.8";"0.534";"0.661";"0.411";"1.035";"0.389";"0.402";"1094";"2529";"0.567"
"2015-06-10 10:55:53.000";"1433958953000";"988001";"2015-06-10";"10:55:53";"F";"32";"A";"889";"1105";"652";"24.0";"0.195";"53.4";"702";"0.84";"0.8";"0.536";"0.719";"0.423";"1.289";"0.352";"0.453";"1094";"2529";"0.567"
"2015-06-10 10:56:12.000";"1433958972000";"1007001";"2015-06-10";"10:56:12";"F";"33";"A";"840";"1003";"975";"25.0";"0.163";"66.7";"660";"0.84";"0.8";"0.475";"0.761";"0.373";"1.521";"0.332";"0.505";"1094";"2529";"0.567"
"2015-06-10 10:56:32.000";"1433958992000";"1027001";"2015-06-10";"10:56:32";"F";"34";"A";"811";"949";"1302";"25.0";"0.145";"79.3";"636";"0.84";"0.9";"0.441";"0.782";"0.346";"1.665";"0.321";"0.534";"1094";"2529";"0.567"
"2015-06-10 10:56:52.000";"1433959012000";"1047001";"2015-06-10";"10:56:52";"F";"35";"A";"794";"891";"1803";"25.0";"0.109";"82.5";"609";"0.84";"0.9";"0.344";"0.803";"0.264";"1.838";"0.314";"0.577";"1094";"2529";"0.567"
"2015-06-10 10:57:11.000";"1433959031000";"1066001";"2015-06-10";"10:57:11";"F";"36";"A";"777";"846";"2632";"25.0";"0.082";"90.6";"588";"0.84";"0.9";"0.267";"0.820";"0.202";"1.989";"0.307";"0.611";"1094";"2529";"0.567"
"2015-06-10 10:57:31.000";"1433959051000";"1086001";"2015-06-10";"10:57:31";"F";"37";"A";"755";"794";"3711";"25.0";"0.049";"76.4";"562";"0.84";"0.9";"0.168";"0.838";"0.125";"2.185";"0.299";"0.652";"1094";"2529";"0.567"
"2015-06-10 10:57:31.001";"1433959051001";"1086002";"2015-06-10";"10:57:31";"SLCE";"";"Light Curve end ";""
"2015-06-10 10:59:46.998";"1433959186998";"1221999";"2015-06-10";"10:59:46";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=94;CW=0:30;CI=1;LW=0:20;LI=2;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-10 10:59:46.999";"1433959186999";"1222000";"2015-06-10";"10:59:46";"SLCS";"";"Light Curve start ";""
"2015-06-10 10:59:46.999";"1433959186999";"1222000";"2015-06-10";"10:59:46";"REG1";"";"#1: alpha: 0.160, ETRm: 75.761, Ik: 472.865   ( beta: 0.012, ETRmPot: 99.203 ) ";""
"2015-06-10 10:59:46.999";"1433959186999";"1222000";"2015-06-10";"10:59:46";"REG2";"";"#1: alpha: 0.132, ETRm: 74.145, Ik: 560.506 ";""
"2015-06-10 10:59:47.000";"1433959187000";"1222001";"2015-06-10";"10:59:47";"FO";"39";"l";"993";"2232";"1";"25.0";"0.555";"0.2";"-";"0.84";"0.9";"-";"-";"-";"-";"-";"-";"993";"2232";"0.555"
"2015-06-10 11:00:05.000";"1433959205000";"1240001";"2015-06-10";"11:00:05";"F";"40";"A";"820";"1109";"154";"25.0";"0.261";"16.9";"685";"0.84";"0.9";"0.682";"0.658";"0.570";"1.013";"0.367";"0.372";"993";"2232";"0.555"
"2015-06-10 11:00:25.000";"1433959225000";"1260001";"2015-06-10";"11:00:25";"F";"41";"A";"726";"996";"335";"25.0";"0.271";"38.1";"640";"0.84";"0.9";"0.758";"0.713";"0.668";"1.241";"0.325";"0.404";"993";"2232";"0.555"
"2015-06-10 11:00:44.000";"1433959244000";"1279001";"2015-06-10";"11:00:44";"F";"42";"A";"756";"1031";"486";"25.0";"0.267";"54.5";"654";"0.84";"0.9";"0.729";"0.696";"0.631";"1.165";"0.339";"0.394";"993";"2232";"0.555"
"2015-06-10 11:01:04.000";"1433959264000";"1299001";"2015-06-10";"11:01:04";"F";"43";"A";"714";"922";"652";"25.0";"0.226";"61.9";"608";"0.84";"0.9";"0.662";"0.747";"0.564";"1.421";"0.320";"0.454";"993";"2232";"0.555"
"2015-06-10 11:01:24.000";"1433959284000";"1319001";"2015-06-10";"11:01:24";"F";"44";"A";"641";"770";"975";"25.0";"0.168";"68.8";"538";"0.84";"0.9";"0.556";"0.813";"0.467";"1.899";"0.287";"0.545";"993";"2232";"0.555"
"2015-06-10 11:01:43.000";"1433959303000";"1338001";"2015-06-10";"11:01:43";"F";"45";"A";"616";"712";"1302";"25.0";"0.135";"73.8";"509";"0.84";"0.9";"0.473";"0.836";"0.391";"2.135";"0.276";"0.589";"993";"2232";"0.555"
"2015-06-10 11:02:03.000";"1433959323000";"1358001";"2015-06-10";"11:02:03";"F";"46";"A";"601";"667";"1803";"25.0";"0.099";"75.0";"486";"0.84";"0.9";"0.365";"0.854";"0.295";"2.346";"0.269";"0.632";"993";"2232";"0.555"
"2015-06-10 11:02:22.000";"1433959342000";"1377001";"2015-06-10";"11:02:22";"F";"47";"A";"602";"644";"2632";"25.0";"0.065";"71.9";"474";"0.84";"0.9";"0.247";"0.863";"0.194";"2.466";"0.270";"0.665";"993";"2232";"0.555"
"2015-06-10 11:02:22.001";"1433959342001";"1377002";"2015-06-10";"11:02:22";"SLCE";"";"Light Curve end ";""
"2015-06-10 11:08:52.998";"1433959732998";"1767999";"2015-06-10";"11:08:52";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=94;CW=0:30;CI=1;LW=0:20;LI=1;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-10 11:08:52.999";"1433959732999";"1768000";"2015-06-10";"11:08:52";"SLCS";"";"Light Curve start ";""
"2015-06-10 11:08:52.999";"1433959732999";"1768000";"2015-06-10";"11:08:52";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 38.316 ) ";""
"2015-06-10 11:08:52.999";"1433959732999";"1768000";"2015-06-10";"11:08:52";"REG2";"";"#1: alpha: 0.094, ETRm: 40.878, Ik: 433.816 ";""
"2015-06-10 11:08:53.000";"1433959733000";"1768001";"2015-06-10";"11:08:53";"FO";"49";"l";"434";"789";"1";"26.0";"0.450";"0.2";"-";"0.84";"0.9";"-";"-";"-";"-";"-";"-";"434";"789";"0.450"
"2015-06-10 11:09:12.000";"1433959752000";"1787001";"2015-06-10";"11:09:12";"F";"50";"A";"408";"566";"68";"26.0";"0.279";"8.0";"357";"0.84";"0.9";"0.756";"0.411";"0.662";"0.394";"0.517";"0.204";"434";"789";"0.450"
"2015-06-10 11:09:32.000";"1433959772000";"1807001";"2015-06-10";"11:09:32";"F";"51";"A";"372";"492";"154";"26.0";"0.244";"15.8";"326";"0.84";"0.9";"0.723";"0.532";"0.634";"0.604";"0.471";"0.285";"434";"789";"0.450"
"2015-06-10 11:09:51.000";"1433959791000";"1826001";"2015-06-10";"11:09:51";"F";"52";"A";"334";"417";"335";"26.0";"0.199";"28.0";"291";"0.84";"0.9";"0.659";"0.645";"0.574";"0.892";"0.423";"0.378";"434";"789";"0.450"
"2015-06-10 11:10:11.000";"1433959811000";"1846001";"2015-06-10";"11:10:11";"F";"53";"A";"319";"375";"486";"26.0";"0.149";"30.4";"270";"0.84";"0.9";"0.533";"0.704";"0.451";"1.104";"0.404";"0.447";"434";"789";"0.450"
"2015-06-10 11:10:30.000";"1433959830000";"1865001";"2015-06-10";"11:10:30";"F";"54";"A";"307";"352";"652";"27.0";"0.128";"35.1";"258";"0.84";"0.9";"0.479";"0.735";"0.403";"1.241";"0.389";"0.483";"434";"789";"0.450"
"2015-06-10 11:10:50.000";"1433959850000";"1885001";"2015-06-10";"11:10:50";"F";"55";"A";"285";"316";"975";"27.0";"0.098";"40.1";"238";"0.84";"0.9";"0.397";"0.780";"0.332";"1.497";"0.361";"0.541";"434";"789";"0.450"
"2015-06-10 11:11:10.000";"1433959870000";"1905001";"2015-06-10";"11:11:10";"F";"56";"A";"270";"292";"1302";"27.0";"0.075";"41.0";"224";"0.84";"0.9";"0.324";"0.808";"0.269";"1.702";"0.342";"0.583";"434";"789";"0.450"
"2015-06-10 11:11:29.000";"1433959889000";"1924001";"2015-06-10";"11:11:29";"F";"57";"A";"251";"266";"1803";"26.0";"0.056";"42.4";"209";"0.84";"0.9";"0.263";"0.839";"0.219";"1.966";"0.318";"0.626";"434";"789";"0.450"
"2015-06-10 11:11:29.001";"1433959889001";"1924002";"2015-06-10";"11:11:29";"SLCE";"";"Light Curve end ";""
"2015-06-10 11:14:26.999";"1433960066999";"2102000";"2015-06-10";"11:14:26";"SICS";"";"Induction Curve start ";""
"2015-06-10 11:14:27.000";"1433960067000";"2102001";"2015-06-10";"11:14:27";"FO";"58";"q";"408";"622";"1";"27.0";"0.344";"0.1";"-";"0.84";"0.9";"-";"-";"-";"-";"-";"-";"408";"622";"0.344"
"2015-06-10 11:14:27.001";"1433960067001";"2102002";"2015-06-10";"11:14:27";"SICE";"";"Induction Curve end ";""
"2015-06-10 11:15:13.998";"1433960113998";"2148999";"2015-06-10";"11:15:13";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=94;CW=0:30;CI=1;LW=0:20;LI=2;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-10 11:15:13.999";"1433960113999";"2149000";"2015-06-10";"11:15:13";"SLCS";"";"Light Curve start ";""
"2015-06-10 11:15:13.999";"1433960113999";"2149000";"2015-06-10";"11:15:13";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 28.741 ) ";""
"2015-06-10 11:15:13.999";"1433960113999";"2149000";"2015-06-10";"11:15:13";"REG2";"";"#1: alpha: 0.054, ETRm: 34.400, Ik: 642.120 ";""
"2015-06-10 11:15:14.000";"1433960114000";"2149001";"2015-06-10";"11:15:14";"FO";"60";"l";"451";"696";"1";"27.0";"0.352";"0.1";"-";"0.84";"0.9";"-";"-";"-";"-";"-";"-";"451";"696";"0.352"
"2015-06-10 11:15:33.000";"1433960133000";"2168001";"2015-06-10";"11:15:33";"F";"61";"A";"368";"431";"154";"27.0";"0.146";"9.4";"323";"0.84";"0.9";"0.583";"0.559";"0.512";"0.615";"0.529";"0.325";"451";"696";"0.352"
"2015-06-10 11:15:52.000";"1433960152000";"2187001";"2015-06-10";"11:15:52";"F";"62";"A";"312";"354";"335";"27.0";"0.119";"16.7";"277";"0.84";"0.9";"0.545";"0.686";"0.484";"0.966";"0.448";"0.433";"451";"696";"0.352"
"2015-06-10 11:16:12.000";"1433960172000";"2207001";"2015-06-10";"11:16:12";"F";"63";"A";"272";"304";"486";"27.0";"0.105";"21.4";"246";"0.84";"0.9";"0.552";"0.763";"0.499";"1.289";"0.391";"0.504";"451";"696";"0.352"
"2015-06-10 11:16:32.000";"1433960192000";"2227001";"2015-06-10";"11:16:32";"F";"64";"A";"251";"278";"652";"27.0";"0.097";"26.6";"228";"0.84";"0.9";"0.540";"0.796";"0.491";"1.504";"0.361";"0.542";"451";"696";"0.352"
"2015-06-10 11:16:51.000";"1433960211000";"2246001";"2015-06-10";"11:16:51";"F";"65";"A";"227";"246";"975";"27.0";"0.077";"31.5";"206";"0.84";"0.9";"0.475";"0.837";"0.431";"1.829";"0.326";"0.597";"451";"696";"0.352"
"2015-06-10 11:17:11.000";"1433960231000";"2266001";"2015-06-10";"11:17:11";"F";"66";"A";"208";"221";"1302";"27.0";"0.059";"32.3";"188";"0.84";"0.9";"0.394";"0.865";"0.356";"2.149";"0.299";"0.642";"451";"696";"0.352"
"2015-06-10 11:17:30.000";"1433960250000";"2285001";"2015-06-10";"11:17:30";"F";"67";"A";"192";"200";"1803";"27.0";"0.040";"30.3";"173";"0.84";"0.9";"0.296";"0.890";"0.267";"2.480";"0.276";"0.684";"451";"696";"0.352"
"2015-06-10 11:17:50.000";"1433960270000";"2305001";"2015-06-10";"11:17:50";"F";"68";"A";"164";"170";"2632";"27.0";"0.035";"38.7";"150";"0.84";"0.9";"0.300";"0.918";"0.274";"3.094";"0.236";"0.729";"451";"696";"0.352"
"2015-06-10 11:17:50.001";"1433960270001";"2305002";"2015-06-10";"11:17:50";"SLCE";"";"Light Curve end ";""
"2015-06-10 11:25:10.998";"1433960710998";"2745999";"2015-06-10";"11:25:10";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=94;CW=0:30;CI=1;LW=0:20;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-10 11:25:11.000";"1433960711000";"2746001";"2015-06-10";"11:25:11";"F";"70";"B";"315";"453";"1";"27.0";"0.305";"0.1";"335";"0.84";"0.9";"1.169";"0.518";"1.243";"0.536";"0.453";"0.242";"451";"696";"0.352"
"2015-06-10 11:25:16.000";"1433960716000";"2751001";"2015-06-10";"11:25:16";"F";"71";"B";"265";"331";"1";"27.0";"0.199";"0.1";"263";"0.84";"0.9";"0.971";"0.722";"0.964";"1.103";"0.381";"0.420";"451";"696";"0.352"
"2015-06-10 11:30:26.998";"1433961026998";"3061999";"2015-06-10";"11:30:26";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=95;CW=0:30;CI=1;LW=0:20;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-10 11:30:26.999";"1433961026999";"3062000";"2015-06-10";"11:30:26";"SLCS";"";"Light Curve start ";""
"2015-06-10 11:30:26.999";"1433961026999";"3062000";"2015-06-10";"11:30:26";"REG1";"";"#1: alpha: 0.186, ETRm: 158.768, Ik: 851.364   ( beta: 0.060, ETRmPot: 330.299 ) ";""
"2015-06-10 11:30:26.999";"1433961026999";"3062000";"2015-06-10";"11:30:26";"REG2";"";"#1: alpha: 0.162, ETRm: 155.170, Ik: 960.422 ";""
"2015-06-10 11:30:27.000";"1433961027000";"3062001";"2015-06-10";"11:30:27";"FO";"73";"l";"849";"2285";"1";"27.0";"0.628";"0.3";"-";"0.84";"0.9";"-";"-";"-";"-";"-";"-";"849";"2285";"0.628"
"2015-06-10 11:30:46.000";"1433961046000";"3081001";"2015-06-10";"11:30:46";"F";"74";"B";"991";"1463";"335";"27.0";"0.323";"45.4";"702";"0.84";"0.9";"0.620";"0.470";"0.439";"0.562";"0.434";"0.243";"849";"2285";"0.628"
"2015-06-10 11:31:06.000";"1433961066000";"3101001";"2015-06-10";"11:31:06";"F";"75";"B";"817";"1255";"486";"27.0";"0.349";"71.2";"651";"0.84";"0.9";"0.725";"0.579";"0.578";"0.821";"0.358";"0.293";"849";"2285";"0.628"
"2015-06-10 11:31:25.000";"1433961085000";"3120001";"2015-06-10";"11:31:25";"F";"76";"B";"738";"1118";"652";"27.0";"0.340";"93.1";"612";"0.84";"0.9";"0.751";"0.648";"0.623";"1.044";"0.323";"0.337";"849";"2285";"0.628"
"2015-06-10 11:31:45.000";"1433961105000";"3140001";"2015-06-10";"11:31:45";"F";"77";"B";"697";"987";"975";"27.0";"0.294";"120.4";"570";"0.84";"0.9";"0.695";"0.710";"0.568";"1.315";"0.305";"0.401";"849";"2285";"0.628"
"2015-06-10 11:32:04.000";"1433961124000";"3159001";"2015-06-10";"11:32:04";"F";"78";"B";"674";"902";"1302";"27.0";"0.253";"138.4";"541";"0.84";"0.9";"0.632";"0.749";"0.507";"1.533";"0.295";"0.452";"849";"2285";"0.628"
"2015-06-10 11:32:24.000";"1433961144000";"3179001";"2015-06-10";"11:32:24";"F";"79";"B";"645";"806";"1803";"26.0";"0.200";"151.5";"505";"0.84";"0.9";"0.535";"0.790";"0.419";"1.835";"0.282";"0.518";"849";"2285";"0.628"
"2015-06-10 11:32:44.000";"1433961164000";"3199001";"2015-06-10";"11:32:44";"F";"80";"B";"603";"701";"2632";"28.0";"0.140";"154.8";"462";"0.84";"0.9";"0.410";"0.834";"0.314";"2.260";"0.264";"0.596";"849";"2285";"0.628"
"2015-06-10 11:33:03.000";"1433961183000";"3218001";"2015-06-10";"11:33:03";"F";"81";"B";"564";"624";"3711";"27.0";"0.096";"149.6";"427";"0.84";"1.0";"0.305";"0.863";"0.231";"2.662";"0.247";"0.657";"849";"2285";"0.628"
