"2015-06-11";"05:58:41";"WinControl (rev 848) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:Mark";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2015-06-10 10:39:24.999";"1433957964999";"0";"2015-06-10";"10:39:24";"SLCS";"";"Light Curve start ";""
"2015-06-10 10:39:24.999";"1433957964999";"0";"2015-06-10";"10:39:24";"SCHS";"";"Chart start ";""
"2015-06-10 10:39:24.999";"1433957964999";"0";"2015-06-10";"10:39:24";"REG1";"";"#1: alpha: 0.216, ETRm: 169.799, Ik: 787.419   ( beta: 0.006, ETRmPot: 194.050 ) ";""
"2015-06-10 10:39:24.999";"1433957964999";"0";"2015-06-10";"10:39:24";"REG2";"";"#1: alpha: 0.173, ETRm: 166.343, Ik: 959.460 ";""
"2015-06-10 10:39:25.000";"1433957965000";"1";"2015-06-10";"10:39:25";"FO";"1";"l";"407";"1143";"1";"23.0";"0.644";"0.3";"-";"0.84";"0.7";"-";"-";"-";"-";"-";"-";"407";"1143";"0.644"
"2015-06-10 10:39:45.000";"1433957985000";"20001";"2015-06-10";"10:39:45";"F";"2";"A";"477";"896";"154";"23.0";"0.468";"30.3";"371";"0.84";"0.7";"0.798";"0.287";"0.621";"0.276";"0.417";"0.115";"407";"1143";"0.644"
"2015-06-10 10:40:04.000";"1433958004000";"39001";"2015-06-10";"10:40:04";"F";"3";"A";"431";"753";"335";"23.0";"0.428";"60.2";"344";"0.84";"0.7";"0.787";"0.444";"0.628";"0.518";"0.377";"0.195";"407";"1143";"0.644"
"2015-06-10 10:40:24.000";"1433958024000";"59001";"2015-06-10";"10:40:24";"F";"4";"A";"428";"691";"486";"23.0";"0.381";"77.8";"330";"0.84";"0.7";"0.729";"0.510";"0.562";"0.654";"0.374";"0.245";"407";"1143";"0.644"
"2015-06-10 10:40:43.000";"1433958043000";"78001";"2015-06-10";"10:40:43";"F";"5";"A";"424";"659";"652";"23.0";"0.357";"97.8";"323";"0.84";"0.7";"0.699";"0.543";"0.532";"0.734";"0.371";"0.272";"407";"1143";"0.644"
"2015-06-10 10:41:03.000";"1433958063000";"98001";"2015-06-10";"10:41:03";"F";"6";"A";"408";"589";"975";"23.0";"0.307";"125.7";"305";"0.84";"0.7";"0.637";"0.614";"0.476";"0.941";"0.357";"0.336";"407";"1143";"0.644"
"2015-06-10 10:41:23.000";"1433958083000";"118001";"2015-06-10";"10:41:23";"F";"7";"A";"396";"537";"1302";"23.0";"0.263";"143.8";"290";"0.84";"0.7";"0.571";"0.664";"0.418";"1.128";"0.346";"0.391";"407";"1143";"0.644"
"2015-06-10 10:41:42.000";"1433958102000";"137001";"2015-06-10";"10:41:42";"F";"8";"A";"385";"485";"1803";"23.0";"0.206";"156.0";"274";"0.84";"0.7";"0.474";"0.713";"0.337";"1.357";"0.337";"0.457";"407";"1143";"0.644"
"2015-06-10 10:42:02.000";"1433958122000";"157001";"2015-06-10";"10:42:02";"F";"9";"A";"366";"432";"2632";"23.0";"0.153";"169.1";"257";"0.84";"0.7";"0.377";"0.762";"0.265";"1.646";"0.320";"0.527";"407";"1143";"0.644"
"2015-06-10 10:42:02.001";"1433958122001";"157002";"2015-06-10";"10:42:02";"SLCE";"";"Light Curve end ";""
"2015-06-10 10:43:44.998";"1433958224998";"259999";"2015-06-10";"10:43:44";"C";"";"MI=8;SI=8;SW=0.8;AI=5;AW=0:20;AF=1.20;G=6;D=2;EF=0.84;FO=94;CW=0:30;CI=1;LW=0:20;LI=3;ID=0:40;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.00 ";""
"2015-06-10 10:43:44.999";"1433958224999";"260000";"2015-06-10";"10:43:44";"SLCS";"";"Light Curve start ";""
"2015-06-10 10:43:44.999";"1433958224999";"260000";"2015-06-10";"10:43:44";"REG1";"";"#1: alpha: 0.194, ETRm: 154.758, Ik: 796.493   ( beta: 0.049, ETRmPot: 291.273 ) ";""
"2015-06-10 10:43:44.999";"1433958224999";"260000";"2015-06-10";"10:43:44";"REG2";"";"#1: alpha: 0.168, ETRm: 150.274, Ik: 892.759 ";""
"2015-06-10 10:43:45.000";"1433958225000";"260001";"2015-06-10";"10:43:45";"FO";"11";"l";"491";"1426";"1";"24.0";"0.656";"0.3";"-";"0.84";"0.7";"-";"-";"-";"-";"-";"-";"491";"1426";"0.656"
"2015-06-10 10:44:04.000";"1433958244000";"279001";"2015-06-10";"10:44:04";"F";"12";"A";"553";"871";"335";"26.0";"0.365";"51.4";"403";"0.84";"0.8";"0.679";"0.499";"0.495";"0.637";"0.388";"0.247";"491";"1426";"0.656"
"2015-06-10 10:44:24.000";"1433958264000";"299001";"2015-06-10";"10:44:24";"F";"13";"A";"485";"762";"486";"24.0";"0.364";"74.3";"378";"0.84";"0.8";"0.721";"0.589";"0.562";"0.871";"0.340";"0.296";"491";"1426";"0.656"
"2015-06-10 10:44:43.000";"1433958283000";"318001";"2015-06-10";"10:44:43";"F";"14";"A";"440";"674";"652";"24.0";"0.347";"95.0";"355";"0.84";"0.8";"0.734";"0.659";"0.592";"1.116";"0.309";"0.344";"491";"1426";"0.656"
"2015-06-10 10:45:03.000";"1433958303000";"338001";"2015-06-10";"10:45:03";"F";"15";"A";"418";"588";"975";"24.0";"0.289";"118.3";"329";"0.84";"0.8";"0.656";"0.723";"0.516";"1.425";"0.293";"0.418";"491";"1426";"0.656"
"2015-06-10 10:45:23.000";"1433958323000";"358001";"2015-06-10";"10:45:23";"F";"16";"A";"396";"528";"1302";"24.0";"0.250";"136.7";"310";"0.84";"0.8";"0.606";"0.767";"0.474";"1.701";"0.278";"0.472";"491";"1426";"0.656"
"2015-06-10 10:45:42.000";"1433958342000";"377001";"2015-06-10";"10:45:42";"F";"17";"A";"370";"459";"1803";"24.0";"0.194";"146.9";"285";"0.84";"0.8";"0.511";"0.814";"0.394";"2.107";"0.259";"0.547";"491";"1426";"0.656"
"2015-06-10 10:46:02.000";"1433958362000";"397001";"2015-06-10";"10:46:02";"F";"18";"A";"359";"418";"2632";"24.0";"0.141";"155.9";"268";"0.84";"0.8";"0.393";"0.840";"0.293";"2.411";"0.252";"0.607";"491";"1426";"0.656"
"2015-06-10 10:46:21.000";"1433958381000";"416001";"2015-06-10";"10:46:21";"F";"19";"A";"338";"372";"3711";"24.0";"0.091";"141.8";"249";"0.84";"0.8";"0.276";"0.868";"0.203";"2.833";"0.237";"0.672";"491";"1426";"0.656"
"2015-06-10 10:46:21.001";"1433958381001";"416002";"2015-06-10";"10:46:21";"SLCE";"";"Light Curve end ";""
"2015-06-10 10:49:27.999";"1433958567999";"603000";"2015-06-10";"10:49:27";"SLCS";"";"Light Curve start ";""
"2015-06-10 10:49:27.999";"1433958567999";"603000";"2015-06-10";"10:49:27";"REG1";"";"#1: alpha: 0.181, ETRm: 81.234, Ik: 449.160   ( beta: 0.039, ETRmPot: 143.623 ) ";""
"2015-06-10 10:49:27.999";"1433958567999";"603000";"2015-06-10";"10:49:27";"REG2";"";"#1: alpha: 0.155, ETRm: 72.774, Ik: 469.602 ";""
"2015-06-10 10:49:28.000";"1433958568000";"603001";"2015-06-10";"10:49:28";"FO";"20";"l";"1416";"3623";"1";"24.0";"0.609";"0.3";"-";"0.84";"0.8";"-";"-";"-";"-";"-";"-";"1416";"3623";"0.609"
"2015-06-10 10:49:47.000";"1433958587000";"622001";"2015-06-10";"10:49:47";"F";"21";"A";"1074";"1362";"335";"24.0";"0.211";"29.7";"859";"0.84";"0.8";"0.573";"0.772";"0.458";"1.660";"0.296";"0.493";"1416";"3623";"0.609"
"2015-06-10 10:50:06.000";"1433958606000";"641001";"2015-06-10";"10:50:06";"F";"22";"A";"1075";"1478";"486";"24.0";"0.273";"55.7";"904";"0.84";"0.8";"0.702";"0.740";"0.590";"1.451";"0.297";"0.430";"1416";"3623";"0.609"
"2015-06-10 10:50:26.000";"1433958626000";"661001";"2015-06-10";"10:50:26";"F";"23";"A";"1210";"1710";"652";"24.0";"0.292";"80.0";"985";"0.84";"0.8";"0.690";"0.671";"0.562";"1.119";"0.334";"0.374";"1416";"3623";"0.609"
"2015-06-10 10:50:45.000";"1433958645000";"680001";"2015-06-10";"10:50:45";"F";"24";"A";"1035";"1306";"975";"24.0";"0.208";"85.2";"836";"0.84";"0.8";"0.577";"0.787";"0.466";"1.774";"0.286";"0.506";"1416";"3623";"0.609"
"2015-06-10 10:51:05.000";"1433958665000";"700001";"2015-06-10";"10:51:05";"F";"25";"A";"837";"979";"1302";"24.0";"0.145";"79.3";"689";"0.84";"0.8";"0.490";"0.869";"0.403";"2.701";"0.231";"0.624";"1416";"3623";"0.609"
"2015-06-10 10:51:25.000";"1433958685000";"720001";"2015-06-10";"10:51:25";"F";"26";"A";"812";"897";"1803";"24.0";"0.095";"71.9";"647";"0.84";"0.8";"0.340";"0.887";"0.271";"3.039";"0.224";"0.681";"1416";"3623";"0.609"
"2015-06-10 10:51:44.000";"1433958704000";"739001";"2015-06-10";"10:51:44";"F";"27";"A";"804";"855";"2632";"24.0";"0.060";"66.3";"625";"0.84";"0.8";"0.222";"0.896";"0.173";"3.237";"0.222";"0.718";"1416";"3623";"0.609"
"2015-06-10 10:52:04.000";"1433958724000";"759001";"2015-06-10";"10:52:04";"F";"28";"A";"801";"830";"3711";"25.0";"0.035";"54.6";"612";"0.84";"0.9";"0.133";"0.901";"0.102";"3.365";"0.221";"0.744";"1416";"3623";"0.609"
"2015-06-10 10:52:04.001";"1433958724001";"759002";"2015-06-10";"10:52:04";"SLCE";"";"Light Curve end ";""
"2015-06-10 10:54:54.999";"1433958894999";"930000";"2015-06-10";"10:54:54";"SLCS";"";"Light Curve start ";""
